name,address,lng,lat
開南大學,[338]桃園市蘆竹區開南路1號,121.270208,25.0113673
佛光大學,[262]宜蘭縣礁溪鄉林美村林尾路160號,121.7220999,24.8162257
台南應用科技大學,[710]臺南市永康區中正路529號,120.2390574,23.0394245
遠東科技大學,[744]臺南市新市區中華路49號,120.294524,23.0642559
元培醫事科技大學,[300]新竹市香山區元培街306號,120.9404076,24.7777953
景文科技大學,[231]新北市新店區安忠路99號,121.5092798,24.9529572
中華醫事科技大學,[717]臺南市仁德區文華一街89號,120.243631,22.960882
東南科技大學,[222]新北市深坑區北深路三段152號,121.6044447,25.003296
德明財經科技大學,[114]臺北市內湖區環山路一段56號,121.5652249,25.0867061
明道大學,[523]彰化縣埤頭鄉文化路369號,120.4947373,23.8693433
南開科技大學,[542]南投縣草屯鎮中正路568號,120.696843,23.9792331
中華科技大學,[115]臺北市南港區研究院路三段245號,121.6098889,25.0335957
僑光科技大學,[407]臺中市西屯區僑光路100號,120.6440635,24.1894633
育達科技大學,[361]苗栗縣造橋鄉談文村學府路168號,120.84231,24.6509694
美和科技大學,[912]屏東縣內埔鄉美和村屏光路23號,120.560668,22.603895
吳鳳科技大學,[621]嘉義縣民雄鄉建國路二段117號,120.4361519,23.5358143
環球科技大學,[640]雲林縣斗六市嘉東里鎮南路1221號,120.5556315,23.6803656
台灣首府大學,[721]臺南市麻豆區南勢168號,120.270689,23.191978
中州科技大學,[510]彰化縣員林市山腳路三段2巷6號,120.6040341,23.9575748
修平科技大學,[412]臺中市大里區工業路11號,120.7137649,24.0953128
長庚科技大學,[333]桃園市龜山區文化一路261號,121.3894973,25.0339514
臺北城市科技大學,[112]臺北市北投區學園路2號,121.468879,25.133617
大華科技大學,[307]新竹縣芎林鄉大華路1號,121.0899442,24.7770031
醒吾科技大學,[244]新北市林口區粉寮路一段101號,121.3999488,25.0820518
南榮科技大學,[737]臺南市鹽水區朝琴路178號,120.2746661,23.3245939
文藻外語大學,[807]高雄市三民區民族一路900號,120.3191403,22.6703488
華夏科技大學,[235]新北市中和區工專路111號,121.5075153,24.9810876
慈濟科技大學,[970]花蓮縣花蓮市建國路二段880號,121.5647535,23.9967593
致理科技大學,[220]新北市板橋區文化路一段313號,121.465198,25.0210015
康寧大學,[114]臺北市內湖區康寧路三段75巷137號,121.609939,25.0751696
臺北市立大學,[100]臺北市中正區愛國西路1號,121.5142953,25.0356043
國立臺灣戲曲學院,[114]臺北市內湖區內湖路二段177號,121.5866803,25.0812796
中信?融管?學院,[709]臺南市安南區臺江大道三段600號,120.1626834,23.0639816
大漢技術學院,[971]花蓮縣新城鄉大漢村樹人街1號,121.6053419,24.0392823
和春技術學院,[831]高雄市大寮區琉球里至學路288號,120.4273621,22.6059983
亞東技術學院,[220]新北市板橋區四川路二段58號,121.4531189,24.995194
南亞技術學院,[320]桃園市中壢區中山東路三段414號,121.2516681,24.9368776
稻江科技暨管理學院,[613]嘉義縣朴子市學府路二段51號,120.2897636,23.4488003
德霖技術學院,[236]新北市土城區青雲路380巷1號,121.4557677,24.972325
蘭陽技術學院,[261]宜蘭縣頭城鎮復興路79號,121.8180287,24.8641286
黎明技術學院,[243]新北市泰山區泰林路三段22號,121.4348877,25.0599688
東方設計學院,[829]高雄市湖內區東方路110號,120.2482666,22.8796783
經國管理暨健康學院,[203]基隆市中山區復興路336號,121.7277038,25.1500577
崇右技術學院,[201]基隆市信義區義七路40號,121.7544557,25.1319238
大同技術學院,[600]嘉義市東區彌陀路253號,120.4648665,23.4697165
