縣市,鄉鎮,lat,lng
新竹縣,湖口鄉,24.897278,121.057373
新竹縣,新埔鎮,24.828491,121.088196
新竹縣,竹北鄉,24.840698,120.999512
新竹縣,關西鎮,24.766907,121.205383
新竹縣,芎林鄉,24.766724,121.104797
新竹縣,竹東鎮,24.74292,121.07489
新竹縣,寶山鄉,24.744324,121.004211
新竹縣,尖石鄉,24.594482,121.282593
新竹縣,橫山鄉,24.708679,121.151672
新竹縣,北埔鄉,24.676514,121.065796
新竹縣,峨眉鄉,24.683716,121.00708
新竹縣,五峰鄉,24.585876,121.140381
嘉義市,嘉義市,23.479126,120.449219
嘉義縣,大林鎮,23.603088,120.471191
嘉義縣,溪口鄉,23.56073,120.408997
嘉義縣,吳鳳鄉,23.478882,120.803101
嘉義縣,新港鄉,23.551086,120.353577
嘉義縣,梅山鄉,23.561279,120.631592
嘉義縣,民雄鄉,23.549072,120.447021
嘉義縣,六腳鄉,23.508728,120.262207
嘉義縣,竹崎鄉,23.500122,120.601807
嘉義縣,東石鄉,23.461731,120.171814
嘉義縣,太保鄉,23.467285,120.348328
嘉義縣,番路鄉,23.361511,120.589478
嘉義縣,朴子鎮,23.433899,120.250671
嘉義縣,水上鄉,23.432312,120.42511
嘉義縣,中埔鄉,23.393921,120.522278
嘉義縣,布袋鎮,23.330078,120.175781
嘉義縣,鹿草鄉,23.405273,120.307922
嘉義縣,義竹鄉,23.342896,120.225098
嘉義縣,大埔鄉,23.29071,120.591614
彰化縣,伸港鄉,24.160889,120.481384
彰化縣,和美鎮,24.11853,120.514771
彰化縣,線西鄉,24.134888,120.452393
彰化縣,鹿港鎮,24.088074,120.451599
彰化縣,彰化市,24.079895,120.564087
彰化縣,秀水鄉,24.01947,120.507813
彰化縣,福興鄉,24.034119,120.436279
彰化縣,花壇鄉,24.025696,120.561523
彰化縣,芬園鄉,23.991516,120.63623
彰化縣,芳苑鄉,23.951294,120.354675
彰化縣,埔鹽鄉,23.988281,120.464783
彰化縣,大村鄉,23.989929,120.560181
彰化縣,二林鎮,23.936279,120.406799
彰化縣,員林鎮,23.951111,120.592285
彰化縣,溪湖鎮,23.947327,120.482422
彰化縣,埔心鄉,23.94989,120.538208
彰化縣,永靖鄉,23.919312,120.536621
彰化縣,社頭鄉,23.906128,120.601929
彰化縣,埤頭鄉,23.880493,120.474792
彰化縣,田尾鄉,23.897705,120.522827
彰化縣,大城鄉,23.854309,120.322998
彰化縣,田中鎮,23.846924,120.591614
彰化縣,北斗鎮,23.866882,120.536011
彰化縣,竹塘鄉,23.856689,120.413513
彰化縣,溪州鄉,23.822876,120.529724
彰化縣,二水鄉,23.802124,120.64093
臺東縣,長濱鄉,23.346924,121.428772
臺東縣,海端鄉,23.141113,121.021729
臺東縣,成功鎮,23.146729,121.356018
臺東縣,池上鄉,23.083313,121.219421
臺東縣,關山鎮,23.051697,121.178223
臺東縣,東河鄉,22.967529,121.23999
臺東縣,鹿野鄉,22.957275,121.151611
臺東縣,延平鄉,22.912292,121.008301
臺東縣,卑南鄉,22.757324,120.990723
臺東縣,臺東市,22.756287,121.112
臺東縣,太麻里鄉120.987976,,22.59967
臺東縣,金峰鄉,22.571289,120.872192
臺東縣,綠島鄉,22.660522,121.48761
臺東縣,達仁鄉,22.359131,120.843384
臺東縣,大武鄉,22.389893,120.903931
臺東縣,蘭嶼鄉,22.054871,121.550903
澎湖縣,白沙鄉,23.748108,119.612915
澎湖縣,白沙鄉,23.665894,119.584229
澎湖縣,西嶼鄉,23.587524,119.508911
澎湖縣,白沙鄉,23.614502,119.607178
澎湖縣,湖西鄉,23.578674,119.651123
澎湖縣,馬公市,23.521118,119.591003
澎湖縣,望安鄉,23.40271,119.325195
澎湖縣,望安鄉,23.372925,119.504272
澎湖縣,望安鄉,23.36853,119.533081
澎湖縣,望安鄉,23.255493,119.672913
澎湖縣,望安鄉,23.248901,119.617493
澎湖縣,七美鄉,23.202087,119.431396
